Subject Head_Dist.cm Time Trial Message L_Pupil_Diameter.mm L_Event R_Pupil_Diameter.mm R_Event L_Missing.Total R_Missing.Total Stimulus PreTrial
11 70 -170.889 1 NA 5.9706 Fixation 6.1255 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -166.883 1 NA 5.9673 Fixation 6.1198 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -162.877 1 NA 5.9691 Fixation 6.1256 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -158.871 1 NA 5.9668 Fixation 6.1307 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -154.865 1 NA 5.9723 Fixation 6.127 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -150.86 1 NA 5.9715 Fixation 6.1207 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -146.854 1 NA 5.9719 Fixation 6.1208 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -142.848 1 NA 5.9721 Fixation 6.1174 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -138.842 1 NA 5.9704 Fixation 6.1192 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -134.836 1 NA 5.9688 Fixation 6.1224 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -130.83 1 NA 5.9695 Fixation 6.1229 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -126.824 1 NA 5.9752 Fixation 6.1228 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -122.818 1 NA 5.9704 Fixation 6.1252 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -118.812 1 NA 5.9712 Fixation 6.1283 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -114.806 1 NA 5.9697 Fixation 6.1345 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -110.8 1 NA 5.9672 Fixation 6.138 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -106.795 1 NA 5.9689 Fixation 6.1395 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -102.789 1 NA 5.9718 Fixation 6.1457 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -98.783 1 NA 5.9708 Fixation 6.1465 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -94.777 1 NA 5.9681 Fixation 6.1442 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -90.771 1 NA 5.9664 Fixation 6.1471 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -86.765 1 NA 5.9619 Fixation 6.1481 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -82.759 1 NA 5.9596 Fixation 6.1503 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -78.753 1 NA 5.9576 Fixation 6.1514 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
11 70 -74.747 1 NA 5.9561 Fixation 6.1466 Fixation 0.27939817869869343 0.27689058994324933 Fixation 1
